,model,price,state
356,Samsung Galaxy Note 8 128GB Preto,2659.0,Muito Bom
357,Samsung Galaxy Note 8 128GB Preto,2519.0,Bom
358,Samsung Galaxy Note 8 128GB Preto,2799.0,Novo
359,Samsung Galaxy S7 32GB Dourado,1054.0,Excelente
360,Samsung Galaxy S7 32GB Dourado,1099.0,Muito Bom
361,Samsung Galaxy S7 32GB Dourado,1009.0,Bom
362,Samsung Galaxy S4 Mini Duos Branco,319.0,Excelente
363,Samsung Galaxy S4 Mini Duos Branco,319.0,Muito Bom
364,Samsung Galaxy S4 Mini Duos Branco,319.0,Bom
365,Samsung Galaxy J5 Prime Rosa,609.0,Excelente
366,Samsung Galaxy J5 Prime Rosa,609.0,Muito Bom
367,Samsung Galaxy J5 Prime Rosa,609.0,Bom
368,Samsung Galaxy Note 5 Dourado,1339.0,Excelente
369,Samsung Galaxy Note 5 Dourado,1219.0,Muito Bom
370,Samsung Galaxy Note 5 Dourado,1059.0,Bom
371,Samsung Galaxy Note 5 Dourado,1205.67,Bom - Sem Touch ID
372,Samsung Galaxy Grand Duos i9082 Branco,299.0,Excelente
373,Samsung Galaxy Grand Duos i9082 Branco,259.0,Muito Bom
374,Samsung Galaxy Grand Duos i9082 Branco,279.0,Bom
375,Samsung Galaxy S3 Slim Duos Preto,309.0,Excelente
376,Samsung Galaxy S3 Slim Duos Preto,309.0,Muito Bom
377,Samsung Galaxy S3 Slim Duos Preto,309.0,Bom
378,Samsung Galaxy S9 Plus 128GB Ultravioleta,3349.0,Excelente
379,Samsung Galaxy S9 Plus 128GB Ultravioleta,3349.0,Muito Bom
380,Samsung Galaxy S9 Plus 128GB Ultravioleta,3349.0,Bom
381,Samsung Galaxy S9 Plus 128GB Ultravioleta,3349.0,Bom - Sem Touch ID
382,Samsung Galaxy S9 Plus 128GB Ultravioleta,3349.0,Novo
383,Samsung Galaxy A3 Duos Branco,449.0,Excelente
384,Samsung Galaxy A3 Duos Branco,449.0,Muito Bom
385,Samsung Galaxy A3 Duos Branco,449.0,Bom
386,Samsung Galaxy J5 8GB Preto,449.0,Excelente
387,Samsung Galaxy J5 8GB Preto,409.0,Muito Bom
388,Samsung Galaxy J5 8GB Preto,429.0,Bom
389,Samsung Galaxy A7 Branco,639.0,Excelente
390,Samsung Galaxy A7 Branco,639.0,Muito Bom
391,Samsung Galaxy A7 Branco,639.0,Bom
392,Samsung Galaxy S6 Edge Plus 32GB Preto,1199.0,Excelente
393,Samsung Galaxy S6 Edge Plus 32GB Preto,1199.0,Muito Bom
394,Samsung Galaxy S6 Edge Plus 32GB Preto,1199.0,Bom
395,Samsung Galaxy A5 Dourado,409.0,Excelente
396,Samsung Galaxy A5 Dourado,409.0,Muito Bom
397,Samsung Galaxy A5 Dourado,409.0,Bom
398,Samsung Galaxy A7 2016 Dourado,799.0,Excelente
399,Samsung Galaxy A7 2016 Dourado,679.0,Muito Bom
400,Samsung Galaxy A7 2016 Dourado,629.0,Bom
401,Samsung Galaxy Note 4 Preto,709.0,Excelente
402,Samsung Galaxy Note 4 Preto,709.0,Muito Bom
403,Samsung Galaxy Note 4 Preto,709.0,Bom
404,Samsung Galaxy A7 2016 Preto,799.0,Excelente
405,Samsung Galaxy A7 2016 Preto,679.0,Muito Bom
406,Samsung Galaxy A7 2016 Preto,629.0,Bom
407,Samsung Galaxy A5 Branco,499.0,Excelente
408,Samsung Galaxy A5 Branco,459.0,Muito Bom
409,Samsung Galaxy A5 Branco,409.0,Bom
410,Samsung Galaxy J5 16GB Branco,489.0,Excelente
411,Samsung Galaxy J5 16GB Branco,449.0,Muito Bom
412,Samsung Galaxy J5 16GB Branco,399.0,Bom
413,Samsung Galaxy J5 16GB Preto,489.0,Excelente
414,Samsung Galaxy J5 16GB Preto,449.0,Muito Bom
415,Samsung Galaxy J5 16GB Preto,399.0,Bom
416,Samsung Galaxy A7 2017 Preto,999.0,Excelente
417,Samsung Galaxy A7 2017 Preto,999.0,Muito Bom
418,Samsung Galaxy A7 2017 Preto,999.0,Bom
419,Samsung Galaxy A7 2017 Preto,999.0,Novo
420,Samsung Galaxy A5 2016 Rosa,599.0,Excelente
421,Samsung Galaxy A5 2016 Rosa,539.0,Muito Bom
422,Samsung Galaxy A5 2016 Rosa,489.0,Bom
423,Samsung Galaxy J7 2016 Metal Preto,569.0,Excelente
424,Samsung Galaxy J7 2016 Metal Preto,529.0,Muito Bom
425,Samsung Galaxy J7 2016 Metal Preto,549.0,Bom
426,Samsung Galaxy A5 Preto,499.0,Excelente
427,Samsung Galaxy A5 Preto,459.0,Muito Bom
428,Samsung Galaxy A5 Preto,409.0,Bom
429,Samsung Galaxy A5 2017 Preto,899.0,Excelente
430,Samsung Galaxy A5 2017 Preto,789.0,Muito Bom
431,Samsung Galaxy A5 2017 Preto,699.0,Bom
432,Samsung Galaxy A5 2016 Dourado,599.0,Excelente
433,Samsung Galaxy A5 2016 Dourado,539.0,Muito Bom
434,Samsung Galaxy A5 2016 Dourado,489.0,Bom
435,Samsung Galaxy J7 Dourado,569.0,Excelente
436,Samsung Galaxy J7 Dourado,529.0,Muito Bom
437,Samsung Galaxy J7 Dourado,499.0,Bom
438,Samsung Galaxy J7 Dourado,569.0,Excelente
439,Samsung Galaxy J7 Dourado,529.0,Muito Bom
440,Samsung Galaxy J7 Dourado,499.0,Bom
441,Samsung Galaxy J7 2016 Metal Dourado,529.0,Excelente
442,Samsung Galaxy J7 2016 Metal Dourado,529.0,Muito Bom
443,Samsung Galaxy J7 2016 Metal Dourado,529.0,Bom
444,Samsung Galaxy J5 Prime Dourado,579.0,Excelente
445,Samsung Galaxy J5 Prime Dourado,579.0,Muito Bom
